name,platform,dependents_count,dependent_repos_count,stars,forks,contributions_count,rank,gap,reverse_gap,hidden_score,critical_fragile,staleness_years,release_count,releases_per_year,first_release_year,last_release_year,license,domain,repo_host,repo_org,status,deprecation_reason,cluster,keywords_text
@react-three/fiber,npm,972,326,30020,1762,228,22,0.4735650876080659,-0.4735650876080659,-1.130057871365785,-2.993187720975848,0.024640657084188913,277,55.4,2021,2025,MIT,web,github.com,pmndrs,,,0,react renderer fiber three threejs 3d animation
karma-html2js-preprocessor,npm,931,657,74,79,7,21,0.1511900187400257,-0.1511900187400257,-0.09495505691030887,3.0716760662775897,9.297741273100616,5,1.25,2013,2016,MIT,multi,github.com,karma-runner,,,3,karma-plugin karma-preprocessor html2js html
idb-keyval,npm,931,281,3121,149,23,22,0.5191668040346205,-0.5191668040346205,-0.41736645420355706,-1.1084170788502141,0.6707734428473648,45,4.5,2016,2025,Apache-2.0,other,github.com,jakearchibald,,,0,idb indexeddb store keyval localstorage storage promise
octokit,npm,941,436,7572,1167,292,24,0.3335694658224555,-0.3335694658224555,-0.9760959782397077,-2.7126450439243808,0.188911704312115,100,7.6923076923076925,2013,2025,MIT,web,github.com,octokit,,,5,github api sdk octokit hacktoberfest javascript octokit-js
parallelshell,npm,933,682,501,45,13,22,0.1359261725485612,-0.1359261725485612,-0.4806680267298753,2.099582353332336,8.2217659137577,12,3.0,2014,2017,MIT,other,github.com,darkguy2008,,,3,parallel shell
load-grunt-config,npm,927,692,374,64,34,21,0.1268147416070553,-0.1268147416070553,-0.43244080440549043,0.48610000209392057,4.383299110198494,46,5.111111111111111,2013,2021,MIT,ml,github.com,firstandthird,,,5,gruntplugin yaml cson grunt config
uint8arrays,npm,927,298,41,26,12,20,0.49187678789443234,-0.49187678789443234,0.6505866166750499,0.6061703280257762,1.6618754277891854,43,8.6,2020,2024,Apache-2.0,other,github.com,achingbrain,,,5,
jsonc-parser,npm,927,433,693,57,22,23,0.3300582467063511,-0.3300582467063511,-0.2807740017334954,-0.3898725490033543,1.538672142368241,37,4.111111111111111,2016,2024,MIT,other,github.com,microsoft,,,5,
sockjs,npm,926,361,2102,307,39,21,0.4083711636113314,-0.4083711636113314,-0.49729578154342957,-0.1574318218376647,4.098562628336755,36,3.272727272727273,2011,2021,MIT,web,github.com,sockjs,,,5,websockets websocket javascript node nodejs real-time sockjs
html-to-text,npm,926,496,1682,225,56,21,0.27072334541116483,-0.27072334541116483,-0.6372723751920819,-0.678152083022831,2.7953456536618755,55,4.583333333333333,2012,2023,MIT,ml,github.com,html-to-text,,,5,html node text mail plain converter email plain-text pretty-print
util.promisify,npm,937,445,127,7,5,23,0.3228679796669227,-0.3228679796669227,0.20190169211385683,0.5853651080521091,1.054072553045859,6,0.75,2017,2024,MIT,other,github.com,ljharb,,,5,promisify promise util polyfill shim util.promisify
