name,dependents_count,dependent_repos_count,staleness_years,latest_release_date,license
handlebars,19436,9292,2.43668720054757,2023-08-01 21:19:12.508000+00:00,MIT
gulp-babel,19405,10948,7.36208076659822,2018-08-28 22:50:17.248000+00:00,MIT
through2,19136,11848,5.5249828884325805,2020-06-30 01:24:55.820000+00:00,MIT
@babel/polyfill,18990,7925,5.229295003422314,2020-10-15 22:40:35.490000+00:00,MIT
crypto-js,18293,5175,2.206707734428474,2023-10-24 22:20:29.229000+00:00,MIT
@storybook/testing-library,18172,3922,2.269678302532512,2023-10-02 10:04:13.526000+00:00,MIT
grunt-contrib-watch,17828,12307,7.657768651608487,2018-05-13 04:15:58.979000+00:00,MIT
tsconfig-paths,17777,6536,2.0670773442847366,2023-12-14 14:37:09.465000+00:00,MIT
rollup-plugin-uglify,17613,9369,6.078028747433265,2019-12-11 10:20:03.069000+00:00,MIT
gulp-sourcemaps,17595,10093,5.155373032169747,2020-11-11 14:43:19.761000+00:00,ISC
case-sensitive-paths-webpack-plugin,17540,3514,4.87337440109514,2021-02-22 18:21:06.617000+00:00,MIT
regenerator-runtime,17486,8042,2.0643394934976045,2023-12-15 20:52:02.938000+00:00,MIT
coffee-script,17264,12997,8.106776180698152,2017-11-30 06:55:21.537000+00:00,MIT
karma-jasmine-html-reporter,17000,4218,2.595482546201232,2023-06-05 04:31:41.861000+00:00,MIT
fs,16619,6632,9.374401095140314,2016-08-23 17:56:58.976000+00:00,MIT
raw-loader,16469,6473,5.245722108145106,2020-10-09 14:52:56.184000+00:00,MIT
codelyzer,16448,4983,4.681724845995893,2021-05-03 18:51:27.203000+00:00,MIT
grunt-contrib-clean,16416,11526,3.7316906228610542,2022-04-16 01:13:08.746000+00:00,MIT
@types/react-native,15781,7311,2.0479123887748116,2023-12-21 19:18:09.876000+00:00,MIT
webpack-node-externals,15692,5605,4.717316906228611,2021-04-21 10:08:25.309000+00:00,MIT
@rollup/plugin-terser,15556,6225,2.2614647501711156,2023-10-05 12:48:28.594000+00:00,MIT
buffer,15519,5704,5.125256673511293,2020-11-23 02:51:27.107000+00:00,MIT
gulp-concat,15489,8952,9.149897330595483,2016-11-13 18:53:13.734000+00:00,MIT
json-loader,15444,6654,8.462696783025326,2017-07-22 20:01:38.407000+00:00,MIT
@semantic-release/git,15405,9520,4.191649555099247,2021-10-30 05:27:04.269000+00:00,MIT
jasmine-spec-reporter,15325,4420,4.744695414099931,2021-04-10 14:18:09.512000+00:00,Apache-2.0
vue-style-loader,15185,4481,4.851471594798084,2021-03-03 08:02:35.587000+00:00,MIT
karma-phantomjs-launcher,15161,9063,8.829568788501026,2017-03-10 14:35:30.703000+00:00,MIT
object-assign,14893,7812,8.974674880219029,2017-01-16 15:35:15.282000+00:00,MIT
karma-sourcemap-loader,14836,6638,2.921286789869952,2023-02-05 20:40:38.739000+00:00,MIT
pre-commit,14761,8855,9.070499657768652,2016-12-13 12:03:29.029000+00:00,MIT
deepmerge,14723,5707,2.8145106091718,2023-03-16 22:58:56.511000+00:00,MIT
protractor,14716,4123,5.653661875427789,2020-05-13 20:32:00.170000+00:00,MIT
@babel/plugin-syntax-dynamic-import,14621,6145,5.984941820670773,2020-01-13 21:12:33.805000+00:00,MIT
karma-coverage-istanbul-reporter,14323,4196,5.6125941136208075,2020-05-28 19:08:03.779000+00:00,MIT
grunt-contrib-uglify,14267,9744,3.5509924709103355,2022-06-21 11:57:10.983000+00:00,MIT
element-ui,14231,1910,2.3737166324435317,2023-08-24 13:39:01.257000+00:00,MIT
identity-obj-proxy,14066,5383,9.431895961670088,2016-08-03 07:00:43.431000+00:00,MIT
eslint-plugin-babel,13903,7665,5.5249828884325805,2020-06-30 03:06:47.459000+00:00,MIT
eslint-config-standard-react,13551,6235,3.0663928815879533,2022-12-15 11:54:31.052000+00:00,MIT
copyfiles,13468,5808,5.111567419575633,2020-11-27 18:55:47.081000+00:00,MIT
q,13360,8674,8.219028062970569,2017-10-19 17:55:37.072000+00:00,MIT
http-server,13197,6913,3.6057494866529773,2022-05-31 21:34:27.707000+00:00,MIT
babel-preset-stage-3,13034,4534,8.229979466119097,2017-10-15 13:12:54.399000+00:00,MIT
@types/debug,13010,5838,2.1656399726214923,2023-11-09 03:06:57.773000+00:00,MIT
@material-ui/core,12935,3537,3.7645448323066395,2022-04-03 14:37:39.780000+00:00,MIT
