name,dependents_count,dependent_repos_count,staleness_years,latest_release_date,license
typing-inspect,473,246,2.625598904859685,2023-05-24 20:27:04.117000+00:00,MIT
tensorflow-gpu,470,293,2.954140999315537,2023-01-24 22:40:54.779000+00:00,Apache-2.0
boto,467,325,7.493497604380561,2018-07-11 20:58:55+00:00,MIT
uuid,461,182,18.622861054072555,2007-05-26 11:13:24+00:00,Other
parameterized,459,284,2.7871321013004793,2023-03-27 02:02:06.801000+00:00,BSD-2-Clause-FreeBSD
xlwt,458,238,8.380561259411362,2017-08-22 06:47:15+00:00,BSD-3-Clause
Flask-RESTful,457,271,2.6365503080082138,2023-05-21 03:59:07.841000+00:00,BSD-3-Clause
astunparse,456,227,6.04517453798768,2019-12-22 18:12:11+00:00,BSD-3-Clause
retry,443,242,9.659137577002053,2016-05-11 13:58:39+00:00,Apache-2.0
humanfriendly,437,277,4.306639288158795,2021-09-17 21:42:02.945000+00:00,MIT
pathlib2,435,318,3.9069130732375084,2022-02-10 18:01:07+00:00,MIT
azure-common,430,82,3.9260780287474333,2022-02-03 19:39:42+00:00,MIT
filetype,429,229,3.1813826146475015,2022-11-02 17:35:54.555000+00:00,MIT
logging,429,183,4.0629705681040384,2021-12-15 13:40:23.186000+00:00,OFL-1.0-RFN
msrest,428,68,3.57015742642026,2022-06-13 22:41:22+00:00,MIT
terminaltables,424,259,4.084873374401095,2021-12-07 19:03:34+00:00,MIT
Flask-Login,424,248,2.190280629705681,2023-10-30 14:53:19+00:00,MIT
youtube_dl,418,310,4.060232717316906,2021-12-16 19:02:14+00:00,Unlicense
mutagen,413,261,2.346338124572211,2023-09-03 16:33:29+00:00,CNRI-Python-GPL-Compatible
pytest-html,404,218,2.1683778234086244,2023-11-07 15:44:27+00:00,MIT
py-cpuinfo,403,211,3.2032854209445585,2022-10-25 20:39:05.330000+00:00,MIT
ipaddress,402,258,6.225872689938399,2019-10-18 01:30:27+00:00,PSF-2.0
alibabacloud-tea-openapi-py2,399,1,2.127310061601643,2023-11-23 07:49:02+00:00,Apache-2.0
alibabacloud-tea-util-py2,399,1,2.461327857631759,2023-07-24 02:51:11+00:00,Apache-2.0
alibabacloud-endpoint-util-py2,398,1,4.473648186173854,2021-07-19 12:10:21+00:00,Apache-2.0
typed-ast,398,247,2.513347022587269,2023-07-04 18:38:08.820000+00:00,Apache-2.0
astor,398,220,6.080766598220397,2019-12-10 01:50:33+00:00,BSD-3-Clause
halo,391,228,5.160848733744011,2020-11-10 02:36:46+00:00,MIT
aws-cdk.core,390,41,2.5544147843942504,2023-06-19 21:04:01.111000+00:00,Apache-2.0
logzero,383,241,4.813141683778234,2021-03-17 11:25:10.719000+00:00,MIT
alibabacloud-openapi-util-py2,382,1,2.212183436002738,2023-10-23 07:44:20+00:00,Apache-2.0
commonmark,378,219,6.261464750171116,2019-10-04 15:37:37+00:00,BSD-3-Clause
ipython_genutils,375,214,8.821355236139631,2017-03-13 22:12:25+00:00,BSD-3-Clause
backcall,371,185,5.579739904175223,2020-06-09 15:11:30+00:00,BSD-3-Clause
asn1crypto,370,230,3.8165639972621492,2022-03-15 14:46:51+00:00,MIT
aws-cdk.aws-iam,368,149,2.5544147843942504,2023-06-19 21:00:07.466000+00:00,Apache-2.0
pytube,364,171,2.6721423682409307,2023-05-07 19:40:40.414000+00:00,Unlicense
atomicwrites,361,238,3.5017111567419574,2022-07-08 18:33:03.477000+00:00,MIT
pdf2image,352,176,2.001368925393566,2024-01-07 20:32:59+00:00,MIT
munch,349,227,2.524298425735797,2023-07-01 09:51:02.251000+00:00,MIT
shellingham,349,156,2.209445585215606,2023-10-24 04:13:38+00:00,ISC
pytest-pep8,348,273,11.7015742642026,2014-04-27 06:21:28+00:00,MIT
alibabacloud-rpc-util,343,0,4.985626283367557,2021-01-13 05:46:41+00:00,Apache-2.0
langdetect,342,181,4.673511293634497,2021-05-07 07:54:10+00:00,MIT
pyramid,340,199,2.3737166324435317,2023-08-25 06:33:20+00:00,Other
pytest-watch,336,223,7.6358658453114305,2018-05-20 19:52:16+00:00,MIT
jupyter-sphinx,328,203,2.0314852840520192,2023-12-28 12:19:39+00:00,Other
PyInquirer,326,202,7.12662559890486,2018-11-22 19:22:15+00:00,MIT
antchain-alipay-util,324,0,3.1101984941820673,2022-11-29 10:10:00.943000+00:00,Apache-2.0
sly,322,43,3.2032854209445585,2022-10-25 14:37:13.923000+00:00,MIT
GPUtil,322,150,7.058179329226557,2018-12-18 09:12:13+00:00,MIT
slackclient,318,184,3.7152635181382614,2022-04-22 00:25:51+00:00,MIT
ordered-set,317,225,3.9479808350444903,2022-01-26 14:38:48+00:00,MIT
aws-cdk.aws-lambda,314,146,2.5544147843942504,2023-06-19 21:01:21.735000+00:00,Apache-2.0
cx-Oracle,312,122,2.4695414099931554,2023-07-20 16:04:57.864000+00:00,BSD-3-Clause
async_generator,309,199,7.438740588637919,2018-08-01 03:36:20+00:00,MIT
progressbar,306,195,7.529089664613279,2018-06-29 02:32:00+00:00,Other
tk,304,126,6.505133470225872,2019-07-08 06:51:55+00:00,Apache-2.0
Fiona,301,227,2.628336755646817,2023-05-23 23:16:02.878000+00:00,BSD-3-Clause
m2r,299,248,3.143052703627652,2022-11-17 08:14:03.634000+00:00,MIT
pyotp,296,163,2.4503764544832305,2023-07-27 23:41:01+00:00,MIT
bson,295,146,5.620807665982204,2020-05-26 11:13:47+00:00,BSD-3-Clause
ensure,294,171,2.080766598220397,2023-12-10 03:32:40+00:00,Apache-2.0
pypiwin32,293,157,7.865845311430527,2018-02-26 00:43:23+00:00,Unknown
imagesize,291,177,3.5236139630390144,2022-07-01 12:21:02+00:00,MIT
texttable,288,177,2.2669404517453797,2023-10-03 09:48:10+00:00,MIT
wikipedia,285,129,11.145790554414784,2014-11-15 15:59:49+00:00,MIT
cvxopt,285,177,2.414784394250513,2023-08-09 14:30:49+00:00,GPL-3.0
addict,285,166,5.127994524298426,2020-11-21 16:21:29+00:00,MIT
memory-profiler,284,180,3.1457905544147846,2022-11-15 17:59:01.069000+00:00,BSD-3-Clause
hyperopt,284,169,4.142368240930869,2021-11-17 10:07:00.808000+00:00,BSD-3-Clause
importlib,283,145,9.352498288843258,2016-08-31 19:40:00+00:00,Other
requests-html,283,163,6.888432580424367,2019-02-17 20:14:17+00:00,MIT
jsonpatch,282,120,2.5626283367556466,2023-06-16 21:02:02.299000+00:00,Zed
blessings,282,175,7.5482546201232035,2018-06-21 14:00:07+00:00,MIT
strictyaml,280,115,2.833675564681725,2023-03-10 12:50:44.009000+00:00,MIT
flake8-print,278,199,3.6906228610540723,2022-04-30 16:19:24+00:00,MIT
imutils,278,157,4.980150581793292,2021-01-15 10:53:17+00:00,MIT
pep8,273,198,8.205338809034908,2017-10-24 14:39:11+00:00,Saxpath
lark-parser,273,210,4.358658453114305,2021-08-30 09:14:44+00:00,MIT
google,273,111,5.492128678986996,2020-07-11 14:49:58+00:00,BSD-3-Clause
click-log,267,188,3.8247775496235454,2022-03-13 11:10:17+00:00,MIT
jsonlines,263,160,2.3545516769336072,2023-09-01 12:34:42+00:00,BSD-3-Clause
contextlib2,260,158,4.5338809034907595,2021-06-27 06:54:20+00:00,psfrag
playsound,260,137,4.459958932238193,2021-07-24 03:21:22+00:00,MIT
tensorflow-estimator,258,678,2.1711156741957565,2023-11-07 01:10:10+00:00,Apache-2.0
fabric,258,138,2.3572895277207393,2023-08-31 01:42:03+00:00,BSD-3-Clause
stack-data,257,113,2.272416153319644,2023-09-30 13:58:03+00:00,MIT
sphinxcontrib-jsmath,253,140,6.962354551676934,2019-01-21 16:10:14+00:00,BSD-2-Clause
RPi.GPIO,251,161,3.917864476386037,2022-02-06 15:14:54+00:00,MIT
fs,251,159,2.4695414099931554,2023-07-20 15:36:08.195000+00:00,MIT
pyxdg,248,160,3.594798083504449,2022-06-05 11:34:58+00:00,LGPL-3.0
stringcase,248,164,8.424366872005475,2017-08-06 01:40:57+00:00,MIT
PyExecJS,242,165,7.972621492128679,2018-01-18 04:33:55+00:00,MIT
fpdf,242,77,10.965092402464066,2015-01-21 00:07:47+00:00,LGPL-3.0+
funcy,239,147,2.784394250513347,2023-03-28 06:24:02.835000+00:00,BSD-3-Clause
hashlib,238,152,10.965092402464066,2015-01-21 00:37:08.289000+00:00,PSF-2.0
xdg,235,149,2.861054072553046,2023-02-27 19:29:02.144000+00:00,ISC
tensorflow-addons,235,136,2.113620807665982,2023-11-28 01:45:31+00:00,Apache-2.0
pytest-playwright-snapshot,235,50,4.386036960985626,2021-08-19 13:02:27+00:00,Apache-2.0
unicodecsv,234,146,10.294318959616701,2015-09-22 22:00:19+00:00,BSD-2-Clause
google-pasta,233,88,5.820670773442847,2020-03-13 18:57:47+00:00,Apache-2.0
sshtunnel,233,117,4.988364134154689,2021-01-11 13:28:30.784000+00:00,MIT
pyvis,230,126,2.869267624914442,2023-02-24 20:31:00.863000+00:00,BSD-3-Clause
multipledispatch,229,132,2.532511978097194,2023-06-27 16:45:28.158000+00:00,BSD-3-Clause
JPype1,229,134,2.0369609856262834,2023-12-26 09:12:00+00:00,Apache-2.0
inquirerpy,228,122,3.5318275154004106,2022-06-27 23:11:17+00:00,MIT
colour,228,163,8.134154688569472,2017-11-19 23:25:32.400000+00:00,BSD-1-Clause
pyaes,227,117,8.2984257357974,2017-09-20 21:17:54+00:00,AML
raven,226,151,7.055441478439425,2018-12-19 11:56:41.606000+00:00,BSD-3-Clause
construct,225,163,2.11088295687885,2023-11-29 08:44:46+00:00,MIT
pep517,224,141,2.1683778234086244,2023-11-08 11:27:33+00:00,MIT
mkdocs-material-extensions,224,156,2.127310061601643,2023-11-22 19:09:43+00:00,MIT
pytorch,223,145,6.707734428473648,2019-04-24 16:32:54+00:00,Unknown
ratelimit,221,137,7.058179329226557,2018-12-17 18:55:49+00:00,MIT
clint,221,166,10.3709787816564,2015-08-25 16:11:19+00:00,ISC
discord,219,91,2.412046543463381,2023-08-10 21:45:06+00:00,MIT
msgpack-python,219,156,7.832991101984942,2018-03-10 09:22:56+00:00,Apache-2.0
