judge,avg_len,reversal_rate
"HONOURABLE MR JUSTICE S.M. SUBRAMANIAM,HONOURABLE MR.JUSTICE M.JOTHIRAMAN",1061.7386934673366,0.5301507537688442
"HONOURABLE DR JUSTICE ANITA SUMANTH,HONOURABLE MRS JUSTICE R. HEMALATHA",1062.0,0.0
"HONOURABLE MR JUSTICE M. SUNDAR,HONOURABLE MRS JUSTICE K. GOVINDARAJAN THILAKAVADI",1062.6090909090908,0.00909090909090909
HONOURABLE MR JUSTICE SENTHILKUMAR RAMAMOORTHY,1064.953125,0.453125
"HONOURABLE THE CHIEF JUSTICE,HONOURABLE MR JUSTICE MOHAMMED SHAFFIQ",1066.162162162162,0.08108108108108109
"HONOURABLE MR JUSTICE R. SUBRAMANIAN,HONOURABLE  MR.JUSTICE G.ARUL MURUGAN",1069.629213483146,0.10112359550561797
"HONOURABLE MR JUSTICE R. SURESH KUMAR,HONOURABLE MR JUSTICE A.D.JAGADISH CHANDIRA",1071.0,0.0
HONOURABLE MR JUSTICE G.R.SWAMINATHAN,1075.3552123552124,0.08494208494208494
"HONOURABLE MR JUSTICE R. SUBRAMANIAN,HONOURABLE MR JUSTICE MOHAMMED SHAFFIQ",1076.857142857143,0.14285714285714285
"HONOURABLE THE CHIEF JUSTICE,HONOURABLE MR JUSTICE SENTHILKUMAR RAMAMOORTHY",1076.9325842696628,0.02247191011235955
"HONOURABLE MR JUSTICE R. SUBRAMANIAN,HONOURABLE MR JUSTICE P. VELMURUGAN",1078.0,0.0
HONOURABLE  MR JUSTICE KRISHNAN RAMASAMY,1080.2815533980583,0.10194174757281553
"HONOURABLE MR JUSTICE S. S. SUNDAR,HONOURABLE  MR JUSTICE C. SARAVANAN",1086.547619047619,0.07142857142857142
"HONOURABLE MR JUSTICE S. M. SUBRAMANIAM,HONOURABLE MR.JUSTICE M.JOTHIRAMAN",1089.0,0.2222222222222222
"HONOURABLE MR JUSTICE N. SATHISH KUMAR,HONOURABLE MR JUSTICE D.BHARATHA CHAKRAVARTHY",1090.0,0.25
"HONOURABLE DR JUSTICE ANITA SUMANTH,HONOURABLE  MR.JUSTICE G.ARUL MURUGAN",1093.28125,0.0625
"HONOURABLE MR JUSTICE R. SUBRAMANIAN,HONOURABLE  MR JUSTICE V. LAKSHMINARAYANAN",1107.0,0.0
"HONOURABLE THE CHIEF JUSTICE,HONOURABLE MRS JUSTICE R. KALAIMATHI",1108.5,0.0
HONOURABLE  MR.JUSTICE MUMMINENI SUDHEER KUMAR,1116.0,0.0782122905027933
"HONOURABLE DR JUSTICE G. JAYACHANDRAN,HONOURABLE MR JUSTICE C.V. KARTHIKEYAN",1119.3333333333333,0.3333333333333333
HONOURABLE MR JUSTICE S. M. SUBRAMANIAM,1122.0,0.0
HONOURABLE MR.JUSTICE SHAMIM AHMED,1127.0441176470588,0.04411764705882353
"HONOURABLE MR JUSTICE R. SUBRAMANIAN,HONOURABLE MR.JUSTICE P. DHANABAL",1129.0,0.0
HONOURABLE DR.JUSTICE A.D.MARIA CLETE,1160.0588235294117,0.058823529411764705
HONOURABLE MR JUSTICE P.B. BALAJI,1164.8855140186915,0.34345794392523366
HONOURABLE  MR JUSTICE G.K. ILANTHIRAIYAN,1171.9097169089519,0.26778882938026016
HONOURABLE MR JUSTICE V.SIVAGNANAM,1188.5185185185185,0.2222222222222222
HONOURABLE MR JUSTICE S.S. SUNDAR,1211.0,0.0
HONOURABLE MRS JUSTICE N. MALA,1211.2583333333334,0.07916666666666666
HONOURABLE  MR.JUSTICE VIVEK KUMAR SINGH,1212.6044776119404,0.04477611940298507
HONOURABLE MR JUSTICE K.KUMARESH BABU,1215.2900232018562,0.2900232018561485
HONOURABLE MRS JUSTICE R. KALAIMATHI,1219.0348837209303,0.6627906976744186
HONOURABLE MR.JUSTICE R.SAKTHIVEL,1224.679389312977,0.7099236641221374
HONOURABLE  MR.JUSTICE N.SENTHILKUMAR,1230.3125,0.1875
HONOURABLE MR JUSTICE K.MURALI SHANKAR,1246.0266666666666,0.5466666666666666
HONOURABLE MR JUSTICE G.ILANGOVAN,1246.2549019607843,0.26143790849673204
HONOURABLE MR JUSTICE B.PUGALENDHI,1249.7714285714285,0.09523809523809523
HONOURABLE  MR JUSTICE P.VADAMALAI,1250.6148648648648,0.6013513513513513
HONOURABLE MS.JUSTICE R. POORNIMA,1251.4,0.25
HONOURABLE MRS JUSTICE S.SRIMATHY,1252.2166666666667,0.21666666666666667
HONOURABLE MRS JUSTICE K. GOVINDARAJAN THILAKAVADI,1255.6614173228347,0.1889763779527559
HONOURABLE MR. JUSTICE P.DHANABAL,1258.75,0.12333333333333334
HONOURABLE MR. JUSTICE BATTU DEVANAND,1258.8235294117646,0.43529411764705883
HONOURABLE MR JUSTICE K.K. RAMAKRISHNAN,1260.0533333333333,0.37333333333333335
HONOURABLE MRS JUSTICE L.VICTORIA GOWRI,1261.1604938271605,0.39012345679012345
HONOURABLE  MR JUSTICE N. ANAND VENKATESH,1262.4700239808153,0.39568345323741005
HONOURABLE  MR JUSTICE M. NIRMAL KUMAR,1263.2061170212767,0.261968085106383
HONOURABLE MR JUSTICE R.VIJAYAKUMAR,1264.3386627906978,0.13953488372093023
HONOURABLE MR.JUSTICE M.JOTHIRAMAN,1265.909090909091,0.09090909090909091
"HONOURABLE MR JUSTICE P.VELMURUGAN,HONOURABLE MR JUSTICE K.K. RAMAKRISHNAN",1275.0,0.0
"HONOURABLE MR JUSTICE RMT. TEEKAA RAMAN,HONOURABLE MR JUSTICE R.VIJAYAKUMAR",1278.5384615384614,0.0
"HONOURABLE MR JUSTICE N. SESHASAYEE,HONOURABLE  MR JUSTICE P.VADAMALAI",1280.5,1.0
HONOURABLE MR. JUSTICE C.KUMARAPPAN,1283.0,0.0
"HONOURABLE MR JUSTICE R. SURESH KUMAR,HONOURABLE  MR.JUSTICE G.ARUL MURUGAN",1289.0,1.0
"HONOURABLE MR JUSTICE RMT. TEEKAA RAMAN,HONOURABLE MRS JUSTICE L.VICTORIA GOWRI",1289.0,0.0
"HONOURABLE MR JUSTICE G.R.SWAMINATHAN,HONOURABLE MS.JUSTICE R. POORNIMA",1291.0229885057472,0.5325670498084292
"HONOURABLE MRS JUSTICE J. NISHA BANU,HONOURABLE MRS JUSTICE L.VICTORIA GOWRI",1294.6470588235295,0.058823529411764705
"HONOURABLE MR JUSTICE P.VELMURUGAN,HONOURABLE MR.JUSTICE M.JOTHIRAMAN",1296.5,0.0
