metric,emotion,value,split,model,genre
pearson,joy,0.5118119238880003,stratified,RandomForest,
spearman,joy,0.50979633623088,stratified,RandomForest,
ece,joy,0.055263774607486875,stratified,RandomForest,
mae,tension,0.1266648746115599,stratified,RandomForest,
pearson,tension,0.6092258894257456,stratified,RandomForest,
spearman,tension,0.6225885303932852,stratified,RandomForest,
ece,tension,0.055587024788807504,stratified,RandomForest,
mae,sadness,0.1130294292259372,stratified,RandomForest,
pearson,sadness,0.396235796514856,stratified,RandomForest,
spearman,sadness,0.41610226270258516,stratified,RandomForest,
ece,sadness,0.021622863381348865,stratified,RandomForest,
mae,macro,0.11604538393119913,stratified,RandomForest,
pearson,macro,0.5227270299726896,stratified,RandomForest,
spearman,macro,0.549745142698277,stratified,RandomForest,
ece,macro,0.0313940463214198,stratified,RandomForest,
topk_overlap,macro,0.65,stratified,RandomForest,
mae,amazement,0.08113036319299738,stratified,XGBoost,
pearson,amazement,0.2564373640816351,stratified,XGBoost,
spearman,amazement,0.2591186306580362,stratified,XGBoost,
ece,amazement,0.012895752713380391,stratified,XGBoost,
mae,solemnity,0.10275896018174235,stratified,XGBoost,
pearson,solemnity,0.45936326516889747,stratified,XGBoost,
spearman,solemnity,0.47074636972324574,stratified,XGBoost,
ece,solemnity,0.052974645228742165,stratified,XGBoost,
mae,tenderness,0.11968827976340315,stratified,XGBoost,
pearson,tenderness,0.5313877326240982,stratified,XGBoost,
spearman,tenderness,0.553731747576681,stratified,XGBoost,
ece,tenderness,0.01327627727350948,stratified,XGBoost,
mae,nostalgia,0.1213204850757024,stratified,XGBoost,
pearson,nostalgia,0.5069514765255522,stratified,XGBoost,
spearman,nostalgia,0.5858015217591127,stratified,XGBoost,
ece,nostalgia,0.031595237263561435,stratified,XGBoost,
mae,calmness,0.14338936959332488,stratified,XGBoost,
pearson,calmness,0.553821352645507,stratified,XGBoost,
spearman,calmness,0.5397911769979644,stratified,XGBoost,
ece,calmness,0.035408637595287853,stratified,XGBoost,
mae,power,0.10328558558770977,stratified,XGBoost,
pearson,power,0.6275517022880948,stratified,XGBoost,
spearman,power,0.7016925317406004,stratified,XGBoost,
ece,power,0.021802232947870766,stratified,XGBoost,
mae,joy,0.15337757686561335,stratified,XGBoost,
pearson,joy,0.5123546603510332,stratified,XGBoost,
spearman,joy,0.49635162225010526,stratified,XGBoost,
ece,joy,0.043513492523223146,stratified,XGBoost,
mae,tension,0.12707801793735218,stratified,XGBoost,
pearson,tension,0.541317770632487,stratified,XGBoost,
spearman,tension,0.591192288594984,stratified,XGBoost,
ece,tension,0.0401501261634055,stratified,XGBoost,
mae,sadness,0.1191734999825168,stratified,XGBoost,
pearson,sadness,0.2977226358369974,stratified,XGBoost,
spearman,sadness,0.3424977174180901,stratified,XGBoost,
ece,sadness,0.028750111924353536,stratified,XGBoost,
mae,macro,0.11902245979781803,stratified,XGBoost,
pearson,macro,0.47632310668381134,stratified,XGBoost,
spearman,macro,0.5045470674132022,stratified,XGBoost,
ece,macro,0.031151834848148256,stratified,XGBoost,
topk_overlap,macro,0.6333333333333334,stratified,XGBoost,
mae,amazement,0.16166580967159738,stratified,MLP,
pearson,amazement,0.1411271861951246,stratified,MLP,
spearman,amazement,0.12044273462822544,stratified,MLP,
ece,amazement,0.13630306476017576,stratified,MLP,
mae,solemnity,0.1961265786441407,stratified,MLP,
pearson,solemnity,0.055519901580226516,stratified,MLP,
spearman,solemnity,0.06686751267218095,stratified,MLP,
ece,solemnity,0.1411369978655132,stratified,MLP,
mae,tenderness,0.16871780500269024,stratified,MLP,
pearson,tenderness,0.37865968551444695,stratified,MLP,
spearman,tenderness,0.35121969976695266,stratified,MLP,
ece,tenderness,0.12303651577076591,stratified,MLP,
mae,nostalgia,0.20067222162952641,stratified,MLP,
pearson,nostalgia,0.2917380992716164,stratified,MLP,
spearman,nostalgia,0.29036945730272506,stratified,MLP,
ece,nostalgia,0.151153659609775,stratified,MLP,
mae,calmness,0.22399162586888396,stratified,MLP,
pearson,calmness,0.3223197497469494,stratified,MLP,
spearman,calmness,0.2889697247447265,stratified,MLP,
ece,calmness,0.1563373795040532,stratified,MLP,
mae,power,0.20779172390891318,stratified,MLP,
pearson,power,0.13494587423772142,stratified,MLP,
spearman,power,0.13025612773460943,stratified,MLP,
ece,power,0.1477699613827471,stratified,MLP,
mae,joy,0.24312252973324897,stratified,MLP,
pearson,joy,0.20068066730147283,stratified,MLP,
spearman,joy,0.20420123937499837,stratified,MLP,
ece,joy,0.17573021931890748,stratified,MLP,
mae,tension,0.20441337119721567,stratified,MLP,
pearson,tension,0.19213196501005567,stratified,MLP,
spearman,tension,0.20578862275042276,stratified,MLP,
ece,tension,0.14881893170243776,stratified,MLP,
mae,sadness,0.19006330758436632,stratified,MLP,
pearson,sadness,0.17543645025115506,stratified,MLP,
spearman,sadness,0.17574863958897677,stratified,MLP,
ece,sadness,0.13352653409259518,stratified,MLP,
mae,macro,0.19961833036006477,stratified,MLP,
pearson,macro,0.2102843976787521,stratified,MLP,
spearman,macro,0.2037626398404242,stratified,MLP,
ece,macro,0.14597925155633007,stratified,MLP,
topk_overlap,macro,0.5541666666666666,stratified,MLP,
mae,amazement,0.07854839233194118,leave_one_genre_out,BaselineMean,classical
pearson,amazement,,leave_one_genre_out,BaselineMean,classical
spearman,amazement,,leave_one_genre_out,BaselineMean,classical
ece,amazement,0.02904284566397347,leave_one_genre_out,BaselineMean,classical
mae,solemnity,0.12259570486035462,leave_one_genre_out,BaselineMean,classical
pearson,solemnity,,leave_one_genre_out,BaselineMean,classical
spearman,solemnity,,leave_one_genre_out,BaselineMean,classical
ece,solemnity,0.07902352182659617,leave_one_genre_out,BaselineMean,classical
mae,tenderness,0.12593144719593785,leave_one_genre_out,BaselineMean,classical
pearson,tenderness,,leave_one_genre_out,BaselineMean,classical
spearman,tenderness,,leave_one_genre_out,BaselineMean,classical
ece,tenderness,0.024782319994103297,leave_one_genre_out,BaselineMean,classical
mae,nostalgia,0.1333906463585616,leave_one_genre_out,BaselineMean,classical
pearson,nostalgia,,leave_one_genre_out,BaselineMean,classical
spearman,nostalgia,,leave_one_genre_out,BaselineMean,classical
ece,nostalgia,0.007443571235722035,leave_one_genre_out,BaselineMean,classical
mae,calmness,0.20421365868320876,leave_one_genre_out,BaselineMean,classical
pearson,calmness,,leave_one_genre_out,BaselineMean,classical
spearman,calmness,,leave_one_genre_out,BaselineMean,classical
ece,calmness,0.050383740819616774,leave_one_genre_out,BaselineMean,classical
mae,power,0.15044530413892337,leave_one_genre_out,BaselineMean,classical
pearson,power,,leave_one_genre_out,BaselineMean,classical
spearman,power,,leave_one_genre_out,BaselineMean,classical
ece,power,0.0646920697962371,leave_one_genre_out,BaselineMean,classical
mae,joy,0.22150969879359358,leave_one_genre_out,BaselineMean,classical
pearson,joy,,leave_one_genre_out,BaselineMean,classical
spearman,joy,,leave_one_genre_out,BaselineMean,classical
ece,joy,0.020315232512656878,leave_one_genre_out,BaselineMean,classical
mae,tension,0.14127486570307027,leave_one_genre_out,BaselineMean,classical
pearson,tension,,leave_one_genre_out,BaselineMean,classical
spearman,tension,,leave_one_genre_out,BaselineMean,classical
ece,tension,0.06318571420124097,leave_one_genre_out,BaselineMean,classical
mae,sadness,0.12032656353731838,leave_one_genre_out,BaselineMean,classical
pearson,sadness,,leave_one_genre_out,BaselineMean,classical
spearman,sadness,,leave_one_genre_out,BaselineMean,classical
ece,sadness,0.01085710127178613,leave_one_genre_out,BaselineMean,classical
mae,macro,0.14424847573365662,leave_one_genre_out,BaselineMean,classical
pearson,macro,,leave_one_genre_out,BaselineMean,classical
spearman,macro,,leave_one_genre_out,BaselineMean,classical
ece,macro,0.038858457480214756,leave_one_genre_out,BaselineMean,classical
topk_overlap,macro,0.5133333333333333,leave_one_genre_out,BaselineMean,classical
mae,amazement,0.10105094797048178,leave_one_genre_out,Ridge,classical
pearson,amazement,-0.049355019727744906,leave_one_genre_out,Ridge,classical
spearman,amazement,-0.033952812741419224,leave_one_genre_out,Ridge,classical
ece,amazement,0.06801314102933148,leave_one_genre_out,Ridge,classical
mae,solemnity,0.14525265846179786,leave_one_genre_out,Ridge,classical
pearson,solemnity,0.14430807506761517,leave_one_genre_out,Ridge,classical
spearman,solemnity,0.12570020656849917,leave_one_genre_out,Ridge,classical
ece,solemnity,0.10197681836267253,leave_one_genre_out,Ridge,classical
mae,tenderness,0.14520531087711802,leave_one_genre_out,Ridge,classical
pearson,tenderness,0.215513712178125,leave_one_genre_out,Ridge,classical
spearman,tenderness,0.26464074274078025,leave_one_genre_out,Ridge,classical
ece,tenderness,0.09458936209926394,leave_one_genre_out,Ridge,classical
mae,nostalgia,0.24595052549010668,leave_one_genre_out,Ridge,classical
pearson,nostalgia,0.16118948064980895,leave_one_genre_out,Ridge,classical
spearman,nostalgia,0.15987140486172408,leave_one_genre_out,Ridge,classical
ece,nostalgia,0.22275957586401038,leave_one_genre_out,Ridge,classical
mae,calmness,0.21533687177759922,leave_one_genre_out,Ridge,classical
pearson,calmness,0.32170198826989876,leave_one_genre_out,Ridge,classical
spearman,calmness,0.3108910129024482,leave_one_genre_out,Ridge,classical
ece,calmness,0.1360400248620006,leave_one_genre_out,Ridge,classical
mae,power,0.14094670215923616,leave_one_genre_out,Ridge,classical
pearson,power,0.2152383050526791,leave_one_genre_out,Ridge,classical
spearman,power,0.2357415086354369,leave_one_genre_out,Ridge,classical
ece,power,0.10319433988305139,leave_one_genre_out,Ridge,classical
mae,joy,0.19485804437269072,leave_one_genre_out,Ridge,classical
pearson,joy,0.3320358465392753,leave_one_genre_out,Ridge,classical
spearman,joy,0.3619464092299285,leave_one_genre_out,Ridge,classical
ece,joy,0.11963390357909659,leave_one_genre_out,Ridge,classical
mae,tension,0.1310945103740143,leave_one_genre_out,Ridge,classical
