"day_of_week","avg_tip_pct","trips"
1,0.1370845869877657,178755538
2,0.1413494965707114,195855262
3,0.14220096445272543,204282574
4,0.14137946533223458,210158424
5,0.13588557678253727,214238838
6,0.1257957540304129,207609170
7,0.12840692090852265,181311904
