"payment_type_","trips","avg_tip","avg_fare","avg_tip_pct"
"CSH",2050322372,1.2159785712135533,11.53939665309223,0.10935991752840438
"CRE",1392211710,1.55435286144002,12.088955375538253,0.13608559571728002
"NOC",9306592,0.006726842653254732,11.947163321969528,0.0008301091104239956
"UNK",8380444,1.449064561852163,23.903631944281372,0.09457025543379123
"DIS",2868964,0.008121719205346689,13.181036158901913,0.0006410840540961415
