"year","month","tip_pct_5pax","tip_pct_1pax","pct_5pax"
2009,1,0.22278409753797432,0.2013199608731247,0.09194618746231673
2009,2,0.21880533928667933,0.19823874089579316,0.09081297754692493
2009,3,0.21663856109363339,0.19682205758622168,0.08883047946635533
2009,4,0.21468190160884076,0.19752431924240926,0.0881079215099498
2009,5,0.2139544143477636,0.19835944855704704,0.08896516792475831
2009,6,0.21503392581377426,0.19902519362577237,0.0878321080999005
2009,7,0.21457621387744938,0.19897214273573952,0.08830218119345859
2009,8,0.21519031257320909,0.19964022791306274,0.08848516673855791
2009,9,0.21376666435618866,0.1986828340640806,0.08666730456512796
2009,10,0.21468926105478814,0.19914245309084727,0.08625793424707019
2009,11,0.21723527180978935,0.20335226666427997,0.08656917646534935
2009,12,0.22100905962005543,0.20666548725465744,0.08795825910091762
2010,1,0.22375924915751688,0.2084238167414261,0.08742262552325374
2010,2,0.22402704172662544,0.2071121457863357,0.07916036261783325
2010,3,0.22151961965056802,0.20526053813344167,0.08033757711885321
2010,4,0.21836563295877068,0.2044428936923197,0.08575167541071137
2010,5,0.2179298515920989,0.2037874489208227,0.08511454901499284
2010,6,0.21863844300501264,0.20428217675007965,0.08561723118566798
2010,7,0.21825868662361725,0.2034987366981364,0.0838192052921302
2010,8,0.2181307067001673,0.20466389754629535,0.09505046788770695
2010,9,0.21773545286644538,0.20189446681816872,0.07809961923940971
2010,10,0.21755687117956526,0.20296099233216094,0.08388580049464436
2010,11,0.21891130970602682,0.204368615694576,0.08640945506376678
2010,12,0.22258520992790168,0.20727391037104598,0.08531518470038134
2011,1,0.22435272271433998,0.20879759380684254,0.08275070116911783
2011,2,0.22215663181887296,0.2131586121867363,0.08074986927108853
2011,3,0.22264986073645615,0.21529668002492974,0.08008593546543923
2011,4,0.2205519803894914,0.21327473746936337,0.07573940093661417
2011,5,0.22030146067268408,0.213027736790795,0.08032080993954777
2011,6,0.22013462464864225,0.21329389919640265,0.07977229726928377
2011,7,0.21996753140711706,0.21300706805522235,0.08018376719930517
2011,8,0.2208764824577178,0.21347417468767246,0.07688374409628507
2011,9,0.218412073988411,0.21218915032748364,0.07890028220315573
2011,10,0.21956734587544804,0.21328500562886119,0.07819329258105735
2011,11,0.2188717289609449,0.2132584859032683,0.07566465471257969
2011,12,0.2216900533875076,0.21585328939564416,0.07626089873566134
2012,1,0.21636529680519648,0.21502047177943096,0.07364223833354029
2012,2,0.2029023073642779,0.20892717361710236,0.07387148340772323
2012,3,0.20351526269962078,0.20926769113849264,0.07116976836644617
2012,4,0.20330873364078872,0.20882208761766657,0.07003811479029975
2012,5,0.20316047029812107,0.20869265460940378,0.06862336877318045
2012,6,0.20355753060702145,0.20903746241234294,0.06787896645675129
2012,7,0.20355602822734725,0.2091352104016354,0.06640716839086533
2012,8,0.20349867377453032,0.2099417070908679,0.06602640692071347
2012,9,0.19297411459746966,0.19766921045591127,0.06530528308057428
2012,10,0.1938150146638746,0.19848304038205267,0.06425922233573352
2012,11,0.19505040111797367,0.1996671901118351,0.06352809175629255
2012,12,0.19547925630429094,0.20033051037014715,0.06362614185301219
2013,1,0.196584790679593,0.20173649289911516,0.0630984739503966
2013,2,0.19598575793181314,0.20057331072052795,0.060945875945553014
2013,3,0.1948218691866653,0.20011862486619467,0.06069775377416304
2013,4,0.19413553606699316,0.19929278976542858,0.059856303585990374
2013,5,0.193445170354609,0.19822725224892962,0.05890327680984452
2013,6,0.19416589693550196,0.19858710958660716,0.05991625781848564
2013,7,0.19409930080155383,0.19900582412897785,0.06043412155208462
2013,8,0.19383281534936908,0.19935116421213445,0.05579728547729015
2013,9,0.19193785919386908,0.19791903570595876,0.058007495211863706
2013,10,0.19074667038361157,0.19710267778455468,0.056159919715112014
2013,11,0.18636271264586923,0.19324168638279823,0.05636812044300899
2013,12,0.1851828430532222,0.19121244925521272,0.05762269907521993
2014,1,0.18523121568041592,0.18983846034587928,0.05830542599193413
2014,2,0.18243628030087392,0.18478835433500054,0.058219605293260604
2014,3,0.1828584907487917,0.1830745696293089,0.05708429164474261
2014,4,0.1815468304747141,0.1815617019147382,0.05675929239319735
2014,5,0.17924113298114214,0.17981904252568265,0.05694553749027069
2014,6,0.18081084123773178,0.18023930999493412,0.057074254015112805
2014,7,0.1815121551358426,0.1809546962004303,0.05634249418784623
2014,8,0.1795754367766686,0.17856030260922912,0.055558672908714524
2014,9,0.18125548468696465,0.18045268294939404,0.05411691313085638
2014,10,0.1818405036784614,0.18105229261195838,0.05378100584229544
2014,11,0.17911080898848222,0.17846276793544316,0.053626896475228114
2014,12,0.18007161414947684,0.17824717850757793,0.053062882809699244
