"pickup_borocode","total_trips","trips_5pax","tip_pct_5pax","tip_pct_1pax"
1,978844712,65179876,0.18306275220699242,0.173096735371875
2,5337912,271670,0.06685538468955779,0.018126731622841008
3,36445990,2042276,0.14142381172090956,0.10802980127473234
4,70659000,4933442,0.13554395785384438,0.12484769702836389
5,56326,3970,0.20615198900502268,0.16440334607661863
