"year","month","avg_tip_pct","trips"
2001,1,0,18
2002,2,0,20
2002,12,0,28
2003,1,0,24
2003,12,0,2
2008,8,0,2
2008,12,0,928
2009,1,0.20410310619064728,6043796
2009,2,0.20079715932475894,6257762
2009,3,0.1993309215182139,6944846
2009,4,0.19962018005108842,6929184
2009,5,0.20034510359544652,7415464
2009,6,0.20119352480822955,7455178
2009,7,0.20107243458668844,7357440
2009,8,0.20167554124458237,7464980
2009,9,0.20063400360868258,7880042
2009,10,0.20115628397130897,8969030
2009,11,0.20515436795060105,8443652
2009,12,0.20875133008185146,8527272
2010,1,0.2105312749190841,9541260
2010,2,0.20895072592852718,7751632
2010,3,0.20723755354454768,8987102
2010,4,0.20633707421241249,10615606
2010,5,0.20553133021304548,10859718
2010,6,0.2062833790862311,10781568
2010,7,0.20548923951611064,10806688
2010,8,0.20667377633341424,9377250
2010,9,0.20370773753998725,11945564
2010,10,0.20484419531804327,11082710
2010,11,0.2063991937402865,10818330
2010,12,0.20945347519456725,10564028
2011,1,0.21080209762040963,11141392
2011,2,0.2144108837372925,12143450
2011,3,0.21637218466417785,13693066
2011,4,0.21411049803920149,12356422
2011,5,0.21391758067204242,13150216
2011,6,0.21421548290929096,13072834
2011,7,0.21395448685748553,12729584
2011,8,0.21458886289796358,11616838
2011,9,0.21304445480654452,12967254
2011,10,0.2141599542579382,13994474
2011,11,0.2140816170301961,12875708
2011,12,0.21676779874299457,12776482
2012,1,0.215295620715739,13996234
2012,2,0.20816435801957586,14493008
2012,3,0.20858115032321745,15433688
2012,4,0.20819335181302764,14513526
2012,5,0.20795852270786447,14717144
2012,6,0.20834418212858488,14471228
2012,7,0.2083551927480587,13721350
2012,8,0.20909138347499956,13838342
2012,9,0.1971373884328964,14481248
2012,10,0.19796175738166122,14594730
2012,11,0.199071856249848,13661232
2012,12,0.1997837170582533,14249426
2013,1,0.20116281947522394,15473940
2013,2,0.20001052947601447,15173660
2013,3,0.19943799881823696,16686746
2013,4,0.1986590938982192,16199430
2013,5,0.1976254828095143,16317700
2013,6,0.19797386243542078,15458876
2013,7,0.19833049370225223,14769504
2013,8,0.19860391709636385,13474634
2013,9,0.19725573066590962,15560334
2013,10,0.19665192049781222,16859960
2013,11,0.1932903252654453,16439576
2013,12,0.19204140172625137,15668374
2014,1,0.19085672907455475,16700504
2014,2,0.18632285238405702,16609800
2014,3,0.18480950983145464,19483924
2014,4,0.183336433772199,18292758
2014,5,0.18166195314886213,18500800
2014,6,0.18209166765470028,17441104
2014,7,0.18269389318940904,16456034
2014,8,0.18052411426357243,15861034
2014,9,0.1821578381350492,17267282
2014,10,0.18282967151517163,18439670
2014,11,0.18066425224610533,17237768
2014,12,0.18100500692473925,16781184
2015,1,0.0000071619816979955375,11157128
2015,2,0.000010139762370353333,10439378
2015,3,0.000008735108638197945,11488678
2015,4,0.000008660250608639274,11356592
2015,5,0.000013325887026969714,11692270
2015,6,0.000014491648511979727,10768858
2015,7,0.000003626524168062293,10303838
2015,8,0.0000036462700162394285,10064170
2015,9,0.000004588206985130103,9783120
2015,10,0.000004972483009113122,10390974
2015,11,0.000005078849979412812,9515606
2015,12,0.000006495689697623819,10014720
2016,1,0.000004275521717389097,8709726
2016,2,0.000009187076434455548,8693820
2016,3,0.000004646242599922533,9507370
2016,4,0.0000039842033893286964,9178726
2016,5,0.0000023645926332345392,9392778
2016,6,0.000002561805311105507,8816166
2016,7,0.0000034806665016686447,8458010
2016,8,0.0000060918107611147546,8193302
2016,9,9.18072523190805e-7,7953082
2016,10,0.0000012625641475682495,8486578
2016,11,8.671948109144106e-7,7874298
2016,12,6.962372625951976e-7,8544068
2017,1,4.70207329978492e-7,7290230
2017,2,1.4644292507228836e-7,6648970
2017,3,7.562874619904102e-8,7555706
2017,4,6.755899625647617e-8,7565404
2017,5,8.846817749873446e-8,7477700
2017,6,1.871891747650385e-7,7049392
2017,7,1.317339862738162e-7,6609470
2017,8,1.4585912462713272e-7,6413732
2017,9,7.2935476726114324e-9,6528928
2017,10,1.6940844641445188e-7,6914226
2017,11,0,6526266
2017,12,1.6450225654651778e-7,7082000
2018,1,4.3420552386846514e-7,5871942
2018,2,2.0719396072459522e-7,5530396
2018,3,2.1213564920083536e-7,6286130
2018,4,1.2961972781046114e-7,6171900
2018,5,0,6158014
2018,6,0.0000011387722166798028,5778388
2018,7,0.0000024035073090303425,5500754
2018,8,0.00000614077669706784,5447860
2018,9,0.000009210393264506273,5237822
2018,10,0.000014175493736860052,5569248
2018,11,0.000008250118112211425,5201584
2018,12,0.00001932436615902014,5539096
2019,1,0.000027156539526486322,4686550
2019,2,0.00003099844023300611,3947040
2019,3,0.00003255158300896283,4530938
2019,4,0.00002986575249141739,4441892
2019,5,0.000017899025794319394,4491500
2019,6,0.00002714460804168852,4176506
2019,7,0.00002134549516013518,3942340
2019,8,0.000013537397460149399,3856638
2019,9,0.000017359451785590486,3797596
2019,10,0.00003101847180558724,4070994
2019,11,0.000015960325497205862,3867010
2019,12,0.000014203619862026785,4103326
2020,1,0.00001865566334438029,3429682
2020,2,0.000012751139875307302,3220858
2020,3,0.000056093749407080296,1602942
2020,4,0.000012666606299923784,185676
2020,5,0.000017566159636669153,243406
2020,6,0.000009037449391435582,365154
2020,7,0.000010129749848350192,500930
2020,8,0.000005604080690391567,603082
2020,9,0.000006002210523604974,714910
2020,10,0.00000461354184263763,814582
2020,11,0.000002866764125356002,726424
2020,12,0.000002847638220474984,737322
2021,1,0.0000053785578815540684,665422
2021,2,0.0000020203796318905654,633780
