"time_period","passenger_count","avg_tip_pct","trips"
"day",1,0.1329993637200493,770893962
"night",1,0.14052047843615884,219416264
"day",2,0.1283429681932859,140522134
"night",2,0.1466497532788776,50919690
"day",5,0.1526509059505611,65202106
"night",5,0.15927045906989468,20817692
