"trip_distance","trips","avg_tip_pct"
0.1,3935592,0.14988005255162595
0.2,6318552,0.12299523218775754
0.3,10972828,0.11581517998984503
0.4,21988488,0.12170534324553772
0.5,29958004,0.12935664317944015
0.6,43164954,0.13243543347721612
0.7,45708156,0.1358657563167659
0.8,55554374,0.1366178472594794
0.9,51777422,0.13799402130943322
1,58753092,0.1381860188772655
1.1,51179800,0.13857697735395108
1.2,54965650,0.13729230720525537
1.3,47093978,0.13768793196218526
1.4,49898080,0.1369394317792338
1.5,42436138,0.13771014953534275
1.6,44643276,0.1365487866492631
1.7,37678586,0.13714278426400117
1.8,39218468,0.1364117258057376
1.9,32965138,0.1372278468402603
2,34727736,0.13738581484305742
2.1,28720742,0.1376063223442529
2.2,29838052,0.1366738384869061
2.3,24943020,0.137341025346653
2.4,25948940,0.13602211986093357
2.5,21807092,0.13647945849941318
2.6,22766606,0.13512236612917106
2.7,19169208,0.13585593980128108
2.8,20040442,0.13433275786933854
2.9,16854646,0.13496797781559905
3,17777182,0.13440303088455052
3.1,14890390,0.13418096021753118
3.2,15590616,0.13290851351672664
3.3,13179838,0.13359992159396444
3.4,13811946,0.13234150156487165
3.5,11677040,0.13304931643971502
3.6,12263522,0.1315804708216079
3.7,10358202,0.1325861122312331
3.8,10808128,0.1313715013656375
3.9,9165562,0.13210029436913248
4,9762138,0.13167552337845745
4.1,8188530,0.1320739131848194
4.2,8634708,0.13095294945318908
4.3,7337642,0.13147200735613124
4.4,7720572,0.13017998472124281
4.5,6602252,0.13097339460898097
4.6,6993060,0.1298936297599521
4.7,5995086,0.13088289044922352
4.8,6397338,0.1297543443971274
4.9,5498676,0.13057546976024817
5,5932768,0.12999101279246025
5.1,5046394,0.13041330125162132
5.2,5361882,0.12911996727404895
5.3,4601626,0.13015583988669913
5.4,4880452,0.12882843170908334
5.5,4164344,0.129738206747854
5.6,4434864,0.12872417366060387
5.7,3806046,0.13191473009814073
5.8,4064722,0.1278653742442301
5.9,3496332,0.1286254710679682
6,3780224,0.13220541076906994
6.1,3212496,0.12820117619252938
6.2,3421500,0.12692217579031706
6.3,2953936,0.1273999811465921
6.4,3175524,0.12656568468953258
6.5,2730708,0.1273798505289127
6.6,2907070,0.12604170880968052
6.7,2497940,0.1272143908254079
6.8,2690736,0.12617105781682522
6.9,2330554,0.1269951047754468
7,2514440,0.12657320591330876
7.1,2137040,0.12705219266404072
7.2,2281392,0.12579064682554178
7.3,1986290,0.12744518466714408
7.4,2160728,0.12741412480192327
7.5,1880510,0.12995415787503525
7.6,2042450,0.13001079565731463
7.7,1784606,0.13178925350919016
7.8,1935786,0.13122985262115358
7.9,1708668,0.13393212941797433
8,1920374,0.13606870949950012
8.1,1702592,0.14007588311960553
8.2,1887034,0.1413806426540549
8.3,1676980,0.1436366234293403
8.4,1865240,0.14393307599873262
8.5,1691204,0.1474890759197909
8.6,1898656,0.14817065013591826
8.7,1730048,0.1506801863187732
8.8,1940350,0.15029320692782402
8.9,1751842,0.15252752796008887
9,1975974,0.1531028002754342
9.1,1757794,0.15456358915597737
