year,rank,title,link,worldwide_gross
1999,1,Hum Saath-Saath Hain,https://en.wikipedia.org/wiki/Hum_Saath-Saath_Hain,81.71
1999,2,Hum Dil De Chuke Sanam,https://en.wikipedia.org/wiki/Hum_Dil_De_Chuke_Sanam,51.38
1999,3,Taal,https://en.wikipedia.org/wiki/Taal_(film),51.15
1999,4,Biwi No.1,https://en.wikipedia.org/wiki/Biwi_No.1,49.81
1999,5,Hum Aapke Dil Mein Rehte Hain,https://en.wikipedia.org/wiki/Hum_Aapke_Dil_Mein_Rehte_Hain,36.65
1999,6,Mann,https://en.wikipedia.org/wiki/Mann_(1999_film),35.45
1999,7,Sarfarosh,https://en.wikipedia.org/wiki/Sarfarosh_(1999_film),33.46
1999,8,Baadshah,https://en.wikipedia.org/wiki/Baadshah_(1999_film),31.6
1999,9,Kachche Dhaage,https://en.wikipedia.org/wiki/Kachche_Dhaage,28.87
1999,10,Haseena Maan Jaayegi,https://en.wikipedia.org/wiki/Haseena_Maan_Jaayegi,27.16
2000,1,Mohabbatein,https://en.wikipedia.org/wiki/Mohabbatein,90.01
2000,2,Kaho Naa... Pyaar Hai,https://en.wikipedia.org/wiki/Kaho_Naa..._Pyaar_Hai,80.01
2000,3,Mission Kashmir,https://en.wikipedia.org/wiki/Mission_Kashmir,43.3
2000,4,Dulhan Hum Le Jayenge,https://en.wikipedia.org/wiki/Dulhan_Hum_Le_Jayenge,36.87
2000,5,Refugee,https://en.wikipedia.org/wiki/Refugee_(2000_film),35.44
2000,6,Josh,https://en.wikipedia.org/wiki/Josh_(2000_film),35.06
2000,7,Har Dil Jo Pyar Karega,https://en.wikipedia.org/wiki/Har_Dil_Jo_Pyar_Karega,32.45
2000,8,Fiza,https://en.wikipedia.org/wiki/Fiza,32.2
2000,9,Hamara Dil Aapke Paas Hai,https://en.wikipedia.org/wiki/Hamara_Dil_Aapke_Paas_Hai,30.26
2000,10,Mela,https://en.wikipedia.org/wiki/Mela_(2000_film),25
2001,1,Kabhi Khushi Kabhie Gham,https://en.wikipedia.org/wiki/Kabhi_Khushi_Kabhie_Gham,135.53
2001,2,Gadar: Ek Prem Katha,https://en.wikipedia.org/wiki/Gadar:_Ek_Prem_Katha,133.13
2001,3,Lagaan,https://en.wikipedia.org/wiki/Lagaan,65.97
2001,4,Indian,https://en.wikipedia.org/wiki/Indian_(2001_film),42.61
2001,5,Dil Chahta Hai,https://en.wikipedia.org/wiki/Dil_Chahta_Hai,39.72
2001,6,Chori Chori Chupke Chupke,https://en.wikipedia.org/wiki/Chori_Chori_Chupke_Chupke,37.51
2001,7,Ek Rishtaa: The Bond of Love,https://en.wikipedia.org/wiki/Ek_Rishtaa:_The_Bond_of_Love,36.5
2001,8,Yaadein,https://en.wikipedia.org/wiki/Yaadein_(2001_film),34.59
2001,9,Lajja,https://en.wikipedia.org/wiki/Lajja_(2001_film),34.29
2001,10,Jodi No.1,https://en.wikipedia.org/wiki/Jodi_No.1_(film),34.13
2002,1,Devdas,https://en.wikipedia.org/wiki/Devdas_(2002_Hindi_film),168
2002,2,Raaz,https://en.wikipedia.org/wiki/Raaz_(2002_film),37.2
2002,3,Kaante,https://en.wikipedia.org/wiki/Kaante,36.37
2002,4,Hum Tumhare Hain Sanam,https://en.wikipedia.org/wiki/Hum_Tumhare_Hain_Sanam,34.76
2002,5,Aankhen,https://en.wikipedia.org/wiki/Aankhen_(2002_film),33.8
2002,6,Mujhse Dosti Karoge!,https://en.wikipedia.org/wiki/Mujhse_Dosti_Karoge!,33.61
2002,7,Humraaz,https://en.wikipedia.org/wiki/Humraaz,29.71
2002,8,Saathiya,https://en.wikipedia.org/wiki/Saathiya_(film),29.15
2002,9,Awara Paagal Deewana,https://en.wikipedia.org/wiki/Awara_Paagal_Deewana,27.58
2002,10,Company,https://en.wikipedia.org/wiki/Company_(2002_film),25.02
2003,1,Kal Ho Naa Ho,https://en.wikipedia.org/wiki/Kal_Ho_Naa_Ho,86.09
2003,2,Koi... Mil Gaya,https://en.wikipedia.org/wiki/Koi..._Mil_Gaya,82.32
2003,3,The Hero: Love Story of a Spy,https://en.wikipedia.org/wiki/The_Hero:_Love_Story_of_a_Spy,45.13
2003,4,Chalte Chalte,https://en.wikipedia.org/wiki/Chalte_Chalte_(2003_film),43.29
2003,5,Baghban,https://en.wikipedia.org/wiki/Baghban_(2003_film),43.11
2003,6,Munna Bhai M.B.B.S.,https://en.wikipedia.org/wiki/Munna_Bhai_M.B.B.S.,36.29
2003,7,Main Prem Ki Diwani Hoon,https://en.wikipedia.org/wiki/Main_Prem_Ki_Diwani_Hoon,39.31
2003,8,LOC: Kargil,https://en.wikipedia.org/wiki/LOC:_Kargil,31.67
2003,9,Andaaz,https://en.wikipedia.org/wiki/Andaaz,28.81
2003,10,Qayamat: City Under Threat,https://en.wikipedia.org/wiki/Qayamat:_City_Under_Threat,28.52
2004,1.,Veer-Zaara,https://en.wikipedia.org/wiki/Veer-Zaara,97.64
2004,2.,Main Hoon Na,https://en.wikipedia.org/wiki/Main_Hoon_Na,84
2004,3.,Dhoom,https://en.wikipedia.org/wiki/Dhoom,72.47
2004,4.,Mujhse Shaadi Karogi,https://en.wikipedia.org/wiki/Mujhse_Shaadi_Karogi,62
2004,5.,Khakee,https://en.wikipedia.org/wiki/Khakee_(film),49.89
2004,6.,Hum Tum,https://en.wikipedia.org/wiki/Hum_Tum_(film),43.22
2004,7.,Swades,https://en.wikipedia.org/wiki/Swades,40.2
2004,8.,Masti,https://en.wikipedia.org/wiki/Masti_(2004_film),34.14
2004,9.,Hulchul,https://en.wikipedia.org/wiki/Hulchul_(2004_film),33.09
2004,10.,Aitraaz,https://en.wikipedia.org/wiki/Aitraaz,29
2005,1,No Entry,https://en.wikipedia.org/wiki/No_Entry,95.14
2005,2,Bunty Aur Babli,https://en.wikipedia.org/wiki/Bunty_Aur_Babli,90.4
2005,3,Salaam Namaste,https://en.wikipedia.org/wiki/Salaam_Namaste,75.23
2005,4,Garam Masala,https://en.wikipedia.org/wiki/Garam_Masala_(2005_film),64.65
2005,5,Mangal Pandey: The Rising,https://en.wikipedia.org/wiki/Mangal_Pandey:_The_Rising,52.58
2005,6,Maine Pyaar Kyun Kiya?,https://en.wikipedia.org/wiki/Maine_Pyaar_Kyun_Kiya%3F,47.22
2005,7,Waqt: The Race Against Time,https://en.wikipedia.org/wiki/Waqt:_The_Race_Against_Time,42.49
2005,8,Black,https://en.wikipedia.org/wiki/Black_(2005_film),40.94
2005,9,Sarkar,https://en.wikipedia.org/wiki/Sarkar_(2005_film),39.3
2005,10,Dus,https://en.wikipedia.org/wiki/Dus,38.84
2006,1,Dhoom 2,https://en.wikipedia.org/wiki/Dhoom_2,151
2006,2,Krrish,https://en.wikipedia.org/wiki/Krrish,126.5
2006,3,Lage Raho Munna Bhai,https://en.wikipedia.org/wiki/Lage_Raho_Munna_Bhai,126.2
2006,4,Kabhi Alvida Naa Kehna,https://en.wikipedia.org/wiki/Kabhi_Alvida_Naa_Kehna,113
2006,5,Don: The Chase Begins Again,https://en.wikipedia.org/wiki/Don_(2006_Hindi_film),106
2006,6,Fanaa,https://en.wikipedia.org/wiki/Fanaa_(2006_film),103
2006,7,Rang De Basanti,https://en.wikipedia.org/wiki/Rang_De_Basanti,97
2006,8,Phir Hera Pheri,https://en.wikipedia.org/wiki/Phir_Hera_Pheri,69
2006,9,Bhagam Bhag,https://en.wikipedia.org/wiki/Bhagam_Bhag,67
2006,10,Vivah,https://en.wikipedia.org/wiki/Vivah,49
2007,1,Om Shanti Om,https://en.wikipedia.org/wiki/Om_Shanti_Om,152
2007,2,Welcome,https://en.wikipedia.org/wiki/Welcome_(2007_film),122
2007,3,Chak De! India,https://en.wikipedia.org/wiki/Chak_De!_India,109
